Country ID	Country Name	WEB NAME	Region	Property Rights	Judical Effectiveness	Government Integrity	Tax Burden	Government Spending	Fiscal Health	Business Freedom	Labor Freedom	Monetary Freedom	Trade Freedom	Investment Freedom 	Financial Freedom
16	Belize	Belize	Americas	34.1	71.0	41.7	80.7	76.6	60.4	59.0	60.7	75.6	52.2	55.0	50.0
17	Benin	Benin	Sub-Saharan Africa	43.2	48.2	43.6	69.6	90.4	73.8	47.0	60.0	81.1	60.8	50.0	50.0
18	Bhutan	Bhutan	Asia-Pacific	66.9	61.6	72.3	84.0	72.2	78.7	63.0	56.6	65.6	37.6	20.0	30.0
19	Bolivia	Bolivia	Americas	21.1	28.4	27.7	87.1	60.8	7.0	55.1	44.9	74.0	60.0	15.0	40.0
20	Bosnia and Herzegovina	BosniaHerzegovina	Europe	48.2	34.3	33.1	93.2	46.6	96.3	67.0	60.6	81.9	68.0	65.0	60.0
21	Botswana	Botswana	Sub-Saharan Africa	72.8	68.2	58.6	87.3	61.1	19.2	65.2	62.3	70.6	78.6	65.0	70.0
22	Brazil	Brazil	Americas	49.7	55.3	39.1	70.9	55.0	2.7	63.6	57.0	73.7	65.0	60.0	50.0
23	Bulgaria	Bulgaria	Europe	75.3	57.1	43.9	93.7	56.5	90.5	71.8	63.8	80.2	78.6	60.0	60.0
24	Burkina Faso	BurkinaFaso	Sub-Saharan Africa	38.2	36.9	42.7	81.5	80.6	52.0	41.1	61.8	73.5	61.2	65.0	40.0
25	Burma	Burma	Asia-Pacific	21.5	9.5	29.3	88.5	86.4	38.8	42.1	45.6	76.4	69.4	30.0	20.0
26	Burundi	Burundi	Sub-Saharan Africa	19.8	7.6	12.5	76.0	75.6	38.6	30.6	41.8	67.8	52.8	50.0	30.0
27	Cambodia	Cambodia	Asia-Pacific	40.8	22.3	14.5	87.9	78.7	90.1	54.4	47.9	74.3	66.8	50.0	50.0
28	Cameroon	Cameroon	Sub-Saharan Africa	38.4	10.3	21.1	72.3	91.1	82.1	47.2	46.7	80.3	53.6	30.0	50.0
29	Canada	Canada	Americas	88.5	95.1	83.1	75.0	35.0	32.2	87.9	69.0	74.8	83.4	80.0	80.0
30	Cabo Verde	CaboVerde	Sub-Saharan Africa	65.0	76.7	60.8	83.2	71.7	22.0	67.5	51.9	82.3	68.0	80.0	60.0
31	Central African Republic	CentralAfricanRepublic	Sub-Saharan Africa	6.9	4.6	16.9	65.4	87.3	84.2	26.5	39.8	73.5	45.0	45.0	30.0
32	Chad	Chad	Sub-Saharan Africa	28.2	14.5	12.6	78.1	91.0	93.7	28.4	53.4	76.8	47.3	60.0	40.0
33	Chile	Chile	Americas	72.3	88.7	71.8	73.0	73.5	43.8	75.7	59.4	77.4	78.0	70.0	70.0
34	China	China	Asia-Pacific	45.3	38.2	42.0	69.5	65.1	9.8	68.3	55.2	72.5	73.6	20.0	20.0
35	Colombia	Colombia	Americas	44.9	58.7	41.4	69.0	66.0	38.5	72.2	61.7	78.6	75.8	80.0	70.0
36	Comoros	Comoros	Sub-Saharan Africa	24.5	21.8	19.5	65.4	88.5	88.5	48.6	55.6	84.9	69.6	45.0	30.0
37	Congo, Democratic Republic of the Congo	DemcoraticRepublicCongo	Sub-Saharan Africa	14.4	12.9	11.8	74.4	95.2	96.0	31.7	54.4	65.8	68.2	30.0	20.0
38	Congo, Republic of	RepublicCongo	Sub-Saharan Africa	30.0	14.5	13.0	75.5	84.7	80.0	32.4	43.6	81.8	56.4	35.0	30.0
39	Costa Rica	CostaRica	Americas	66.0	76.7	63.3	79.5	85.9	17.4	73.8	58.1	82.2	74.6	70.0	50.0
40	Côte d'Ivoire	CoeDivoire	Sub-Saharan Africa	44.4	29.8	33.6	79.0	88.5	65.3	60.6	56.4	68.3	73.6	75.0	50.0
41	Croatia	Croatia	Europe	79.5	70.0	50.7	81.1	25.1	69.6	72.1	58.3	76.4	78.6	75.0	60.0
42	Cuba	Cuba	Americas	31.7	15.5	36.6	51.9	0.0	0.0	41.1	20.0	15.3	59.6	10.0	10.0
43	Cyprus	Cyprus	Europe	83.0	89.7	58.8	80.8	45.8	73.3	74.9	66.5	81.5	78.6	75.0	60.0
44	Czech Republic	CzechRepublic	Europe	88.5	81.9	60.3	79.3	39.5	73.5	76.9	56.1	78.0	78.6	70.0	80.0
45	Denmark	Denmark	Europe	97.5	88.5	100.0	42.1	20.9	97.3	89.0	64.8	82.4	78.6	90.0	80.0
46	Djibouti	Djibouti	Sub-Saharan Africa	31.5	28.2	27.0	83.6	82.2	89.3	48.3	50.8	72.2	49.9	60.0	50.0
47	Dominica	Dominica	Americas	69.1	82.7	57.9	76.4	3.1	56.7	63.8	59.5	82.6	54.8	70.0	40.0
48	Dominican Republic	DominicanRepublic	Americas	55.1	56.6	33.2	84.9	89.1	61.9	72.1	53.0	68.8	67.0	70.0	40.0
49	Ecuador	Ecuador	Americas	31.6	46.9	36.5	74.8	60.3	66.4	64.0	56.5	82.2	65.6	35.0	40.0
50	Egypt	Egypt	Middle East and North Africa	39.7	22.1	27.9	86.7	79.4	4.1	51.1	33.4	75.0	60.2	65.0	50.0
51	El Salvador	ElSalvador	Americas	43.0	31.8	34.6	77.2	71.6	35.8	64.7	54.6	70.2	68.6	60.0	60.0
52	Equatorial Guinea	EquatorialGuinea	Sub-Saharan Africa	21.6	8.3	8.9	74.5	93.2	96.3	33.5	47.4	77.7	48.7	40.0	30.0
53	Eritrea	Eritrea	Sub-Saharan Africa	9.6	5.2	12.0	80.3	62.3	69.0	31.3	51.2	64.6	68.4	0.0	20.0
54	Estonia	Estonia	Europe	92.1	92.9	83.2	80.1	47.5	89.0	79.4	61.9	78.4	78.6	90.0	70.0
55	Ethiopia	Ethiopia	Sub-Saharan Africa	30.4	21.2	34.5	77.9	93.7	82.8	39.3	39.1	53.8	56.4	30.0	20.0
56	Fiji	Fiji	Asia-Pacific	58.1	45.6	55.4	89.3	69.4	6.2	63.0	65.8	79.0	58.8	55.0	50.0
57	Finland	Finland	Europe	100.0	97.2	97.6	68.7	8.5	76.5	84.9	65.5	82.1	78.6	85.0	80.0
58	France	France	Europe	93.0	83.9	75.5	52.9	0.0	20.0	78.2	59.2	76.9	78.6	75.0	70.0
59	Gabon	Gabon	Sub-Saharan Africa	27.2	18.2	25.6	77.3	90.4	90.7	50.1	55.4	83.0	55.1	60.0	40.0
60	The Gambia	Gambia	Sub-Saharan Africa	47.2	36.4	36.9	79.3	83.5	70.4	50.5	47.4	63.3	64.4	65.0	50.0
61	Georgia	Georgia	Europe	54.3	55.5	62.9	89.1	70.0	43.0	69.8	62.1	72.0	86.0	80.0	80.0
62	Germany	Germany	Europe	94.8	93.1	89.4	60.2	28.3	82.7	79.7	52.8	75.3	78.6	80.0	70.0
63	Ghana	Ghana	Sub-Saharan Africa	50.5	57.2	45.3	82.9	81.2	6.5	53.3	55.8	70.3	63.0	70.0	60.0
64	Greece	Greece	Europe	76.7	69.9	52.9	60.8	9.7	18.1	70.3	60.7	79.6	78.6	55.0	50.0
65	Guatemala	Guatemala	Americas	39.2	28.5	24.9	91.7	94.0	85.8	65.8	50.1	77.4	74.6	70.0	50.0
66	Guinea	Guinea	Sub-Saharan Africa	20.4	26.7	24.1	70.1	92.5	91.7	45.4	50.0	68.2	59.4	50.0	40.0
67	Guinea-Bissau	GuineaBissau	Sub-Saharan Africa	27.5	14.7	18.7	89.1	84.2	22.2	31.6	56.6	79.9	50.7	30.0	30.0
68	Guyana	Guyana	Americas	46.7	47.1	40.2	73.2	76.0	39.0	67.1	73.8	79.6	55.0	55.0	30.0
69	Haiti	Haiti	Americas	23.2	18.5	15.8	81.7	96.8	90.0	33.4	55.1	58.3	66.5	30.0	30.0
70	Honduras	Honduras	Americas	38.3	29.0	23.4	83.8	77.5	84.4	60.8	38.4	72.0	71.6	65.0	60.0
72	Hungary	Hungary	Europe	69.5	62.5	44.8	84.2	29.8	38.9	73.5	61.3	76.5	78.6	80.0	70.0
73	Iceland	Iceland	Europe	96.8	94.2	83.9	72.9	31.5	28.8	83.3	67.7	77.4	80.4	80.0	70.0
74	India	India	Asia-Pacific	49.7	53.0	42.2	78.5	73.8	5.8	64.3	58.1	70.0	59.8	40.0	40.0
75	Indonesia	Indonesia	Asia-Pacific	38.5	44.2	39.3	81.9	90.6	66.8	70.6	59.5	81.5	78.8	50.0	60.0
76	Iran	Iran	Middle East and North Africa	25.0	26.3	19.6	81.1	94.8	58.8	38.9	50.7	40.6	55.8	5.0	10.0
77	Iraq	Iraq	Middle East and North Africa	14.6	7.6	19.0	-1.0	-1.0	-1.0	43.1	56.8	67.1	-1.0	-1.0	-1.0
78	Ireland	Ireland	Europe	92.9	93.9	82.8	78.4	80.5	86.8	87.2	61.2	81.5	78.6	90.0	70.0
79	Israel	Israel	Middle East and North Africa	82.3	82.8	62.7	60.9	49.1	31.1	84.9	56.9	83.0	82.6	80.0	70.0
80	Italy	Italy	Europe	81.2	77.9	61.1	57.3	13.7	20.4	73.8	70.6	82.6	78.6	80.0	50.0
81	Jamaica	Jamaica	Americas	65.8	70.8	48.6	79.8	72.2	82.6	67.7	64.4	75.1	70.0	70.0	50.0
82	Japan	Japan	Asia-Pacific	94.1	94.7	80.7	68.1	48.4	18.1	78.3	66.8	87.1	75.2	60.0	60.0
83	Jordan	Jordan	Middle East and North Africa	54.1	42.7	48.3	84.7	70.0	3.1	59.8	57.4	83.6	71.4	70.0	60.0
84	Kazakhstan	Kazakhstan	Asia-Pacific	54.8	34.4	36.9	93.0	85.1	70.6	64.6	62.7	67.7	74.8	50.0	50.0
85	Kenya	Kenya	Sub-Saharan Africa	39.7	38.9	30.0	79.0	81.7	10.8	56.0	57.1	74.7	57.2	55.0	50.0
86	Kiribati	Kiribati	Asia-Pacific	76.3	83.7	51.9	69.5	0.0	82.8	61.2	65.5	79.5	80.0	25.0	30.0
87	North Korea	NorthKorea	Asia-Pacific	16.6	6.3	1.6	0.0	0.0	0.0	5.0	5.0	0.0	0.0	0.0	0.0
88	South Korea 	SouthKorea	Asia-Pacific	88.5	76.8	68.7	60.1	82.0	94.1	84.8	56.2	81.4	72.2	60.0	60.0
89	Kuwait	Kuwait	Middle East and North Africa	42.5	40.6	43.8	97.7	3.2	80.9	59.1	52.1	69.3	75.6	55.0	60.0
90	Kyrgyz Republic	KyrgyzRepublic	Asia-Pacific	24.2	13.0	25.2	95.0	66.0	90.1	56.1	52.1	65.4	72.0	60.0	50.0
91	Laos	Laos	Asia-Pacific	41.8	11.4	21.0	89.0	90.1	54.6	56.7	44.5	72.3	66.6	35.0	20.0
92	Latvia	Latvia	Europe	87.3	73.0	64.7	76.2	49.0	78.9	78.2	62.6	80.1	78.6	85.0	60.0
93	Lebanon	Lebanon	Middle East and North Africa	33.1	25.0	22.6	89.7	80.7	44.1	48.1	53.3	19.5	71.4	30.0	30.0
94	Lesotho	Lesotho	Sub-Saharan Africa	42.4	43.3	41.6	77.3	11.2	70.1	44.0	57.9	74.9	61.2	55.0	40.0
95	Liberia	Liberia	Sub-Saharan Africa	31.6	23.2	26.1	86.1	68.6	72.6	34.1	43.3	68.3	66.8	55.0	20.0
96	Libya	Libya	Middle East and North Africa	5.4	3.6	12.5	-1.0	-1.0	-1.0	31.1	48.6	75.1	-1.0	-1.0	-1.0
97	Liechtenstein	Liechtenstein	Europe	92.9	88.0	80.8	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	86.6	80.0	80.0
98	Lithuania	Lithuania	Europe	87.7	74.2	68.5	77.7	56.9	68.6	76.0	60.2	78.1	78.6	70.0	70.0
99	Luxembourg	Luxembourg	Europe	96.8	96.5	89.7	64.8	41.6	80.0	85.5	56.8	75.1	78.6	95.0	80.0
101	North Macedonia	Macedonia	Europe	58.9	50.5	40.1	95.0	63.9	51.4	74.1	52.7	75.0	77.8	65.0	60.0
102	Madagascar	Madagascar	Sub-Saharan Africa	41.7	34.4	23.8	90.7	93.0	82.3	38.5	56.2	75.3	65.8	55.0	50.0
103	Malawi	Malawi	Sub-Saharan Africa	48.4	52.7	36.6	71.6	85.2	11.8	34.1	56.9	70.8	65.6	50.0	50.0
104	Malaysia	Malaysia	Asia-Pacific	65.4	57.6	51.6	83.9	82.4	64.5	70.3	58.0	81.1	83.0	60.0	50.0
105	Maldives	Maldives	Asia-Pacific	48.2	33.4	38.8	91.9	48.4	0.0	44.8	50.0	79.9	58.6	35.0	30.0
106	Mali	Mali	Sub-Saharan Africa	32.6	33.4	26.9	68.9	80.5	68.7	40.5	54.4	79.2	64.0	65.0	40.0
107	Malta	Malta	Europe	86.9	90.8	57.4	69.9	45.9	43.5	75.5	62.7	79.3	78.6	70.0	50.0
108	Mauritania	Mauritania	Sub-Saharan Africa	36.4	27.7	24.2	75.8	90.0	94.7	35.3	49.3	78.6	62.0	50.0	40.0
109	Mauritius	Mauritius	Sub-Saharan Africa	87.0	81.4	58.2	91.0	70.2	2.5	76.0	69.1	73.4	87.8	80.0	70.0
110	Mexico	Mexico	Americas	47.8	40.0	30.8	75.5	77.8	73.6	72.4	57.7	70.9	76.8	75.0	60.0
111	Micronesia	Micronesia	Asia-Pacific	57.7	84.7	62.4	91.0	0.0	99.5	52.5	82.0	81.5	74.8	35.0	30.0
112	Moldova	Moldova	Europe	37.9	29.8	35.6	93.4	64.4	82.1	60.2	46.6	71.2	75.6	55.0	50.0
113	Mongolia	Mongolia	Asia-Pacific	48.7	55.8	37.2	88.2	64.1	64.3	66.4	67.5	74.1	74.2	50.0	50.0
114	Montenegro	Montenegro	Europe	59.7	41.2	47.0	88.2	31.7	48.1	67.3	61.6	81.8	79.2	75.0	50.0
115	Morocco	Morocco	Middle East and North Africa	57.1	32.8	38.7	67.9	72.0	41.3	65.3	47.6	78.3	64.4	65.0	70.0
116	Mozambique	Mozambique	Sub-Saharan Africa	31.2	44.6	27.1	75.3	70.6	65.9	36.1	47.8	76.1	70.8	35.0	50.0
117	Namibia	Namibia	Sub-Saharan Africa	64.0	67.2	52.5	72.0	53.0	9.6	56.0	63.3	78.5	71.8	65.0	40.0
118	Nepal	Nepal	Asia-Pacific	37.6	43.4	34.0	85.0	77.2	58.9	60.1	51.5	71.8	57.8	10.0	30.0
119	Netherlands	Netherlands	Europe	95.6	96.6	91.0	51.0	37.9	90.8	84.4	59.3	80.2	78.6	90.0	80.0
120	New Zealand	NewZealand	Asia-Pacific	87.8	94.7	96.8	66.6	49.7	72.2	88.8	71.5	78.7	90.4	70.0	80.0
121	Nicaragua	Nicaragua	Americas	29.7	20.4	17.6	75.6	74.4	92.0	53.9	47.0	71.3	66.4	60.0	50.0
122	Niger	Niger	Sub-Saharan Africa	36.8	37.2	32.1	77.7	84.3	55.9	34.5	54.1	73.2	63.0	55.0	40.0
123	Nigeria	Nigeria	Sub-Saharan Africa	24.0	33.8	22.5	84.9	95.2	50.0	44.3	73.6	65.0	68.0	45.0	40.0
124	Norway	Norway	Europe	98.9	97.2	96.2	57.4	18.7	96.2	95.2	69.2	74.4	84.6	75.0	60.0
125	Oman	Oman	Middle East and North Africa	75.2	26.1	49.2	97.6	50.7	12.1	61.8	45.7	82.9	76.2	65.0	60.0
126	Pakistan	Pakistan	Asia-Pacific	29.0	29.6	26.8	78.3	88.9	11.4	45.9	51.6	65.8	65.8	60.0	40.0
127	Panama	Panama	Americas	56.8	51.5	38.7	85.6	81.1	19.1	71.1	61.0	77.3	78.5	75.0	70.0
128	Papua New Guinea	PapuaNewGuinea	Asia-Pacific	43.6	44.1	32.0	72.0	86.0	26.4	46.7	65.2	71.5	77.7	25.0	30.0
129	Paraguay	Paraguay	Americas	46.8	37.9	30.1	96.2	81.7	45.4	69.5	39.5	72.6	77.2	75.0	60.0
130	Peru	Peru	Americas	51.4	48.2	38.5	80.0	83.3	70.8	72.8	58.3	78.5	81.2	75.0	60.0
131	Philippines	Philippines	Asia-Pacific	46.4	25.8	34.4	78.3	81.3	59.4	66.1	57.5	68.3	74.4	60.0	60.0
132	Poland	Poland	Europe	72.7	52.7	60.2	73.2	40.0	78.1	74.8	55.4	76.7	78.6	80.0	70.0
133	Portugal	Portugal	Europe	89.9	90.7	67.0	60.5	34.7	67.0	76.2	55.1	84.8	78.6	70.0	60.0
134	Qatar	Qatar	Middle East and North Africa	71.2	39.8	58.3	99.7	68.9	93.2	62.4	52.6	75.6	81.6	60.0	60.0
135	Romania	Romania	Europe	81.0	64.9	47.2	94.4	59.7	14.7	71.3	65.1	76.8	78.6	70.0	50.0
136	Russia	Russia	Europe	30.6	32.9	28.0	88.3	60.4	99.1	54.8	57.7	64.9	69.4	30.0	30.0
137	Rwanda	Rwanda	Sub-Saharan Africa	61.1	27.3	52.7	78.9	71.1	11.1	51.8	42.8	79.7	50.0	60.0	40.0
138	Saint Lucia	SaintLucia	Americas	68.6	77.3	58.9	77.8	73.4	3.0	69.6	57.3	80.9	56.6	65.0	40.0
139	Saint Vincent and the Grenadines	SaintVincentGrenadines	Americas	67.1	77.3	62.8	75.5	65.7	43.2	61.8	58.5	82.9	57.6	70.0	40.0
140	Samoa	Samoa	Asia-Pacific	76.3	79.7	58.6	79.2	68.6	95.7	62.0	71.3	79.9	67.8	50.0	30.0
141	São Tomé and Príncipe	SaoTomePrincipe	Sub-Saharan Africa	52.1	61.8	47.6	88.0	83.0	89.5	52.6	41.7	66.5	65.0	60.0	30.0
142	Saudi Arabia	SaudiArabia	Middle East and North Africa	47.3	34.4	49.6	99.4	60.3	41.3	71.8	42.5	78.9	74.2	50.0	50.0
143	Senegal	Senegal	Sub-Saharan Africa	56.6	49.8	46.2	69.8	80.5	40.6	53.5	54.0	75.7	65.4	60.0	40.0
144	Serbia	Serbia	Europe	58.7	50.0	37.8	87.9	37.6	73.5	74.3	68.1	78.6	76.0	70.0	50.0
145	Seychelles	Seychelles	Sub-Saharan Africa	79.7	63.6	71.5	75.1	47.8	9.4	65.9	62.3	73.3	80.6	55.0	30.0
146	Sierra Leone	SierraLeone	Sub-Saharan Africa	34.4	42.8	34.4	87.2	81.1	40.8	34.6	38.3	67.6	61.5	60.0	20.0
147	Singapore	Singapore	Asia-Pacific	94.0	58.3	91.2	90.6	89.0	78.0	86.9	77.3	81.9	95.0	85.0	80.0
148	Slovakia	Slovakia	Europe	84.2	70.6	56.8	77.3	41.2	62.4	72.2	64.7	74.8	78.6	75.0	70.0
149	Slovenia	Slovenia	Europe	88.6	83.3	64.6	62.6	31.5	60.4	75.9	74.4	82.4	78.6	70.0	50.0
150	Solomon Islands	SolomonIslands	Asia-Pacific	52.5	60.8	44.8	71.5	62.4	86.9	45.0	60.9	83.8	68.6	15.0	30.0
151	South Africa	SouthAfrica	Sub-Saharan Africa	42.5	59.1	48.0	65.6	67.3	5.9	64.5	71.6	77.0	72.4	45.0	50.0
152	Spain	Spain	Europe	87.2	73.1	66.9	58.2	30.2	7.4	75.2	62.1	80.6	83.6	85.0	70.0
153	Sri Lanka	SriLanka	Asia-Pacific	51.6	49.7	39.5	90.3	88.0	0.0	54.4	55.8	70.2	67.2	30.0	30.0
154	Sudan	Sudan	Sub-Saharan Africa	22.6	5.9	15.7	85.2	94.9	28.5	25.4	42.0	0.0	48.0	5.0	20.0
155	Suriname	Suriname	Americas	41.9	46.2	38.6	70.8	61.4	0.0	52.8	64.4	46.0	60.6	40.0	30.0
156	Eswatini	Eswatini	Sub-Saharan Africa	45.9	36.6	33.0	78.2	68.5	51.3	49.9	54.9	77.9	72.4	50.0	40.0
157	Sweden	Sweden	Europe	96.6	95.6	95.7	45.1	26.2	96.2	84.6	65.9	80.9	78.6	85.0	80.0
158	Switzerland	Switzerland	Europe	94.2	97.8	92.3	70.6	63.9	95.4	84.3	60.5	85.1	86.6	85.0	90.0
159	Syria	Syria	Middle East and North Africa	3.0	4.4	6.5	-1.0	-1.0	-1.0	35.0	46.5	-1.0	-1.0	-1.0	-1.0
160	Taiwan 	Taiwan	Asia-Pacific	81.9	94.7	76.3	79.3	91.1	93.6	84.3	69.1	82.5	85.8	70.0	60.0
161	Tajikistan	Tajikistan	Asia-Pacific	29.2	11.7	17.7	92.0	75.2	87.2	56.8	43.6	66.3	72.2	25.0	30.0
162	Tanzania	Tanzania	Sub-Saharan Africa	44.8	28.3	37.4	80.6	91.3	86.5	50.1	62.4	73.0	60.6	55.0	50.0
163	Thailand	Thailand	Asia-Pacific	44.2	35.1	37.7	81.0	81.5	65.2	66.6	56.6	73.4	70.8	55.0	60.0
164	Timor-Leste	TimorLeste	Asia-Pacific	38.2	36.3	40.1	97.5	0.0	19.8	58.4	56.5	74.6	79.9	45.0	20.0
165	Togo	Togo	Sub-Saharan Africa	35.8	36.8	30.1	70.2	87.1	69.4	51.2	51.9	73.4	67.2	60.0	30.0
166	Tonga	Tonga	Asia-Pacific	64.6	68.8	43.2	85.4	46.5	95.5	55.7	56.1	72.7	71.9	40.0	20.0
167	Trinidad and Tobago	TrinidadTobago	Americas	58.1	59.9	45.2	80.3	68.5	12.7	64.5	64.8	83.0	66.9	60.0	50.0
168	Tunisia	Tunisia	Middle East and North Africa	61.8	49.0	46.7	73.7	68.4	13.7	54.4	55.8	74.8	66.3	40.0	30.0
169	Turkey	Turkey	Europe	40.8	24.2	37.1	73.0	66.1	63.0	59.7	54.9	58.6	75.8	70.0	60.0
170	Turkmenistan	Turkmenistan	Asia-Pacific	19.1	9.7	8.1	94.3	96.2	99.8	37.3	31.4	67.8	74.2	10.0	10.0
171	Uganda	Uganda	Sub-Saharan Africa	47.7	29.2	24.3	73.5	87.4	23.3	46.1	54.7	80.3	55.4	55.0	40.0
172	Ukraine	Ukraine	Europe	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
173	United Arab Emirates	UnitedArabEmirates	Middle East and North Africa	65.4	34.5	68.8	100.0	71.6	96.4	77.0	64.5	84.3	78.0	50.0	60.0
174	United Kingdom	UnitedKingdom	Europe	95.1	84.8	86.4	65.4	41.9	1.8	79.1	62.2	80.8	81.8	80.0	80.0
175	United States	UnitedStates	Americas	94.7	76.1	73.4	75.4	49.3	0.0	83.8	76.3	78.0	75.4	85.0	80.0
176	Uruguay	Uruguay	Americas	84.3	80.6	77.3	73.7	70.1	73.3	80.1	60.8	71.8	70.8	70.0	30.0
177	Uzbekistan	Uzbekistan	Asia-Pacific	30.9	13.0	24.9	92.8	74.9	85.3	58.9	48.1	63.4	76.0	60.0	50.0
178	Vanuatu	Vanuatu	Asia-Pacific	60.3	72.2	45.5	98.0	45.5	95.4	49.8	40.1	73.8	59.7	65.0	40.0
179	Venezuela	Venezuela	Americas	0.0	3.4	6.5	74.8	95.0	12.0	30.8	34.3	0.0	42.3	0.0	10.0
180	Vietnam	Vietnam	Asia-Pacific	48.7	35.1	36.4	78.6	86.5	88.7	73.4	54.1	70.5	79.4	40.0	50.0
181	Yemen	Yemen	Middle East and North Africa	6.3	8.3	7.0	-1.0	-1.0	-1.0	28.4	30.7	-1.0	-1.0	-1.0	-1.0
182	Zambia	Zambia	Sub-Saharan Africa	36.0	44.4	29.9	74.8	69.6	0.0	43.9	42.1	62.2	65.2	55.0	50.0
183	Zimbabwe	Zimbabwe	Sub-Saharan Africa	20.0	15.8	20.0	65.8	92.6	89.9	39.8	35.4	0.0	54.0	25.0	10.0
184	Somalia	Somalia	Sub-Saharan Africa	0.3	1.7	5.5	-1.0	-1.0	-1.0	26.1	26.5	-1.0	-1.0	-1.0	-1.0
185	Kosovo	Kosovo	Europe	47.2	31.3	39.3	93.1	70.8	72.6	67.9	53.4	75.0	83.3	65.0	30.0
186	Brunei Darussalam	Brunei 	Asia-Pacific	69.1	51.9	61.9	96.3	70.0	20.0	72.4	75.2	71.8	84.4	65.0	50.0
